STA,LAT,LON,ELEV,CHN,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG,MS,8.2
HIR,34.3633,132.437,30,???,39.88,67.8,P,P,15-01-1934,08:50:59,0.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HIR,34.3633,132.437,30,???,39.88,67.8,S,S,15-01-1934,08:57:09,5.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KOC,33.5533,133.537,-1,???,40.84,68.9,P,P,15-01-1934,08:51:03,-3.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KOC,33.5533,133.537,-1,???,40.84,68.9,S,S,15-01-1934,08:57:19,1.5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
MRT,33.2483,134.18,186,???,41.39,69.3,P,P,15-01-1934,08:51:07,-4.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
MRT,33.2483,134.18,186,???,41.39,69.3,S,S,15-01-1934,08:57:27,1.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TYK,35.5333,134.825,4,???,41.8,65.9,P,P,15-01-1934,08:51:18,3.3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TYK,35.5333,134.825,4,???,41.8,65.9,S,S,15-01-1934,08:57:29,-2.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SUM,34.335,134.908,110,???,41.93,67.7,P,P,15-01-1934,08:51:11,-4.7,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SUM,34.335,134.908,110,???,41.93,67.7,S,S,15-01-1934,08:57:26,-7.7,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KOB,34.6883,135.18,58,???,42.13,67.1,P,P,15-01-1934,08:51:13,-4.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KOB,34.6883,135.18,58,???,42.13,67.1,S,S,15-01-1934,08:57:39,2.3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
WKY,34.2267,135.167,14,???,42.15,67.8,S,S,15-01-1934,08:57:34,-2.9,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
OSA,34.6783,135.522,13,???,42.41,67.1,P,P,15-01-1934,08:51:15,-4.7,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
OSA,34.6783,135.522,13,???,42.41,67.1,S,S,15-01-1934,08:57:43,2.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KYO,35.0117,135.735,42,???,42.57,66.6,P,P,15-01-1934,08:51:17,-4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
