STA,LAT,LON,ELEV,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG
ASH,37.95,58.35,220,33.1,296.7,P,P,15-08-1950,14:16:10,0,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SUM,34.335,134.908,110,33.24,69.9,P,P,15-08-1950,14:16:09,-2.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KOB,34.6883,135.18,58,33.47,69.2,P,P,15-08-1950,14:16:11,-2.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
OSA,34.6783,135.522,13,33.75,69.3,P,P,15-08-1950,14:16:14,-1.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
OSA,34.6783,135.522,13,33.75,69.3,PP,PP,15-08-1950,14:17:42,9.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
OWA,34.0667,136.195,17,34.31,70.3,P,P,15-08-1950,14:16:18,-2.6,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
HIK,35.2733,136.247,87,34.34,68.2,P,PP,15-08-1950,14:16:18,-2.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KAM,34.8567,136.465,71,34.52,68.9,P,P,15-08-1950,14:16:19,-3.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KAM,34.8567,136.465,71,34.52,68.9,S,S,15-08-1950,14:21:44,-6.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
GIF,35.3983,136.765,13,34.77,68,P,P,15-08-1950,14:16:22,-2.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KAT,39.028,56.27,200,34.83,298.4,P,P,15-08-1950,14:16:27,2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
WAJ,37.39,136.898,7,34.93,64.5,P,P,15-08-1950,14:16:23,-2.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
NAG,35.165,136.968,56,34.93,68.4,P,P,15-08-1950,14:16:24,-2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
NAG,35.165,136.968,56,34.93,68.4,S,S,15-08-1950,14:22:01,4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
DJA,-6.1833,106.8362,8,35.78,162.1,P,P,15-08-1950,14:16:31,-2.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
DJA,-6.1833,106.8362,8,35.78,162.1,S,S,15-08-1950,14:22:14,3.8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
NGN,36.66,138.195,419,35.94,65.8,P,P,15-08-1950,14:16:33,-1.6,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
NGN,36.66,138.195,419,35.94,65.8,S,S,15-08-1950,14:22:03,-9.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MAT,36.5427,138.207,406,35.95,66,P,P,15-08-1950,14:16:32,-2.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MAT,36.5427,138.207,406,35.95,66,S,S,15-08-1950,14:22:14,1.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
AIK,38.0217,138.2433,35,36.02,63.5,P,P,15-08-1950,14:16:30,-5.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SHZ,34.9733,138.407,14,36.12,68.7,P,P,15-08-1950,14:16:33,-3.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
FUN,35.4983,138.763,860,36.4,67.8,P,P,15-08-1950,14:16:36,-2.6,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MAE,36.4017,139.065,112,36.64,66.3,P,P,15-08-1950,14:16:37,-3.6,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MAE,36.4017,139.065,112,36.64,66.3,PP,PP,15-08-1950,14:18:09,5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
BND,-6.9,107.65,726,36.69,161.2,P,P,15-08-1950,14:16:37,-4.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KMG,36.1466,139.3833,31,36.9,66.7,P,P,15-08-1950,14:16:38,-4.8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
OSH,34.7617,139.3783,191,36.92,69,P,P,15-08-1950,14:16:41,-2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
YOK,35.4367,139.6567,38,37.13,67.9,P,P,15-08-1950,14:16:42,-2.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
TOK,35.6867,139.7583,-285,37.2,67.5,P,P,15-08-1950,14:16:41,-4.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
TOK,35.6867,139.7583,-285,37.2,67.5,PnPn,PP,15-08-1950,14:18:14,3.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
TMS,34.92,139.828,13,37.28,68.7,P,P,15-08-1950,14:16:42,-4.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
UTS,36.5467,139.8717,120,37.29,66,P,P,15-08-1950,14:16:41,-5.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
UTS,36.5467,139.8717,120,37.29,66,PnPn,PP,15-08-1950,14:18:14,2.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MTJ,36.2108,140.11,286,37.48,66.6,P,P,15-08-1950,14:16:44,-3.8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MTJ,36.2108,140.11,286,37.48,66.6,PcP,PcP,15-08-1950,14:19:05,-1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
