NVS    22.73   7.1 P        08:07:00.0    -2.6                           T__                        _i            17619231
NVS    22.73   7.1 PM       08:07:13.3                                   ___          2800.0  2.00  __            17619233
BAK    24.36 297.3 P        08:07:24.0     5.2                           T__                        __            23698925
BAK    24.36 297.3 S        08:11:38.0     0.2                           T__                        _i            23698926
MOY    25.36  33.8 P        08:07:30.0     2.2                           T__                        d_            23698927
MOY    25.36  33.8 P        08:07:29.6     1.8                           T__                        _i            17619234
MOY    25.36  33.8 PM       08:07:44.1                                   ___          5400.0  2.20  __            17619236
ZAK    25.71  38.2 P        08:07:31.7     0.7                           T__                        d_            23698928
ZAK    25.71  38.2 S        08:11:54.0    -5.4                           T__                        _e            23698929
ZAK    25.71  38.2 P        08:07:31.7     0.7                           T__                        _i            17619237
ZAK    25.71  38.2 PM       08:07:43.7                                   ___         33000.0  9.00  __            17619241
ZAK    25.71  38.2 PM       08:07:48.2                                   ___          7300.0  2.80  __            17619239
ZAK    25.71  38.2 S        08:11:54.0    -5.4                           T__                        _e            17619240
KER    26.21 283.0 P        08:07:37.5     1.7                           T__                        de            23698930
KER    26.21 283.0 S        08:12:08.0     0.2                           T__                        _e            23698931
MAK    26.58 302.4 P        08:07:41.0     2.2                           T__                        di            23698932
TAB    26.80 291.3 P        08:07:42.0     0.9                           T__                        di            23698933
GRS    26.90 294.5 P        08:07:45.0     3.1                           T__                        d_            23698934
GRS    26.90 294.5 S        08:12:23.0     4.5                           T__                        _i            23698935
GRS    26.90 294.5 sS       08:12:36.0     8.4                           ___                        _i            23698936
GRS    26.90 294.5 P        08:07:45.0     3.1                           T__                        _i            17619242
GRS    26.90 294.5 PM       08:07:50.0                                   ___          1100.0  8.00  __            17619244
GRS    26.90 294.5 PM       08:07:50.0                                   ___          4800.0  8.00  __            17619245
GRS    26.90 294.5 PM       08:07:50.0                                   ___         11000.0  8.00  __            17619246
GRS    26.90 294.5 S        08:12:23.0     4.5                           T__                        _i            17619243
GRS    26.90 294.5          08:12:40.0                                   ___         18000.0  9.00  __            17619248
GRS    26.90 294.5          08:12:40.0                                   ___         25000.0  9.00  __            17619249
GRS    26.90 294.5 M        08:21:48.0                                   ___         47000.0 15.00  __ MS     6.2 17619251
GRS    26.90 294.5 M        08:21:48.0                                   ___         97000.0 15.00  __ MS     6.5 17619252
GRS    26.90 294.5 M        08:21:48.0                                   ___         42000.0 15.00  __ MS     6.1 17619253
KRV    27.04 296.9 P        08:07:40.0    -3.1                           T__                        __            23698937
KRV    27.04 296.9 S        08:12:20.0    -0.5                           T__                        _i            23698938
IRK    27.30  35.7 P        08:07:46.3     1.0                           T__                        __            17619254
IRK    27.30  35.7 PM       08:07:49.3                                   ___           120.0  1.50  __            17619256
IRK    27.30  35.7 PM       08:07:49.3                                   ___           200.0  1.50  __            17619257
IRK    27.30  35.7 PM       08:07:49.3                                   ___           330.0  1.50  __            17619258
IRK    27.30  35.7 PM       08:07:55.5                                   ___          6800.0 11.00  __            17619260
IRK    27.30  35.7 PM       08:07:55.5                                   ___          9700.0 11.00  __            17619261
IRK    27.30  35.7 PM       08:07:55.5                                   ___         16000.0 11.00  __            17619262
IRK    27.30  35.7 PM       08:07:55.5                                   ___          8700.0 14.00  __            17619264
IRK    27.30  35.7 PM       08:07:55.5                                   ___         10000.0 14.00  __            17619265
IRK    27.30  35.7 PM       08:07:55.5                                   ___         26000.0 14.00  __            17619266
IRK    27.30  35.7 S        08:12:28.3     3.9                           T__                        __            17619263
IRK    27.30  35.7 AMS      08:12:37.0                                   ___         42000.0 15.00  __            17619268
IRK    27.30  35.7 AMS      08:12:37.0                                   ___         37000.0 15.00  __            17619269
IRK    27.30  35.7 AMS      08:12:51.0                                   ___        166000.0 40.00  __            17619271
IRK    27.30  35.7 M        08:18:12.0                                   ___        123000.0 20.00  __            17619273
IRK    27.30  35.7 M        08:18:12.0                                   ___         89000.0 20.00  __ MS     6.3 17619274
IRK    27.30  35.7 M        08:18:36.0                                   ___        212000.0 20.00  __ MS     6.7 17619276
IRK    27.30  35.7 M        08:18:36.0                                   ___         58000.0 20.00  __            17619277
IRK    27.30  35.7 M        08:18:36.0                                   ___        197000.0 20.00  __ MS     6.7 17619278
SVE    27.41 338.5 P        08:07:47.0     0.9                           T__                        _i            17619279
SVE    27.41 338.5 PM       08:07:54.0                                   ___         10000.0  9.00  __            17619281
SVE    27.41 338.5 PM       08:07:54.0                                   ___          8000.0  9.00  __            17619282
SVE    27.41 338.5 PM       08:07:54.0                                   ___         17000.0  9.00  __            17619283
SVE    27.41 338.5 PM       08:07:57.0                                   ___         10000.0 10.00  __            17619285
SVE    27.41 338.5 PM       08:07:57.0                                   ___          8000.0 10.00  __            17619286
SVE    27.41 338.5 S        08:12:28.0     2.1                           T__                        _i            17619284
SVE    27.41 338.5 M        08:17:12.0                                   ___          8000.0 20.00  __ MS     5.3 17619288
SVE    27.41 338.5 M        08:17:12.0                                   ___         13000.0 20.00  __ MS     5.5 17619289
ARU    27.77 336.0 P        08:07:48.0    -1.3                           T__                        _e            17619290
ARU    27.77 336.0 PM       08:07:58.0                                   ___         17000.0 11.00  __            17619292
ARU    27.77 336.0 S        08:12:30.0    -1.5                           T__                        _e            17619293
ARU    27.77 336.0 M        08:19:54.0                                   ___        228000.0 20.00  __ MS     6.8 17619294
ARU    27.77 336.0 M        08:19:54.0                                   ___        312000.0 20.00  __ MS     6.9 17619295
ARU    27.77 336.0 M        08:19:54.0                                   ___        396000.0 20.00  __ MS     7.0 17619296
TIF    28.32 298.9 P        08:07:57.0     2.5                           T__                        __            23698939
BKR    29.28 298.7 P        08:08:05.0     1.7                           T__                        d_            23698940
BKR    29.28 298.7 S        08:13:01.0     4.8                           T__                        _i            23698941
