STA,LAT,LON,ELEV,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG
ARU,56.4293,58.5615,260,27.77,336,S,S,19-01-1975,08:12:30,-1.5,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
TIF,41.7167,44.8,399,28.32,298.9,P,P,19-01-1975,08:07:57,2.5,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
BKR,41.7337,43.5032,1798,29.28,298.7,P,P,19-01-1975,08:08:05,1.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
BKR,41.7337,43.5032,1798,29.28,298.7,S,S,19-01-1975,08:13:01,4.8,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
BKR,41.7337,43.5032,1798,29.28,298.7,P,P,19-01-1975,08:08:05,1.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
BKR,41.7337,43.5032,1798,29.28,298.7,S,S,19-01-1975,08:13:01,4.8,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
PYA,44.0333,43.0583,544,29.97,303.2,P,P,19-01-1975,08:08:10,1.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
PEK,40.0403,116.175,43,31.19,65,P,P,19-01-1975,08:08:22,2.1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
PEK,40.0403,116.175,43,31.19,65,PcP,PcP,19-01-1975,08:11:09,-5.6,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
PEK,40.0403,116.175,43,31.19,65,S,S,19-01-1975,08:13:26,0.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
SOC,43.5833,39.7167,192,32.29,301.6,P,P,19-01-1975,08:08:29,-0.5,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
SOC,43.5833,39.7167,192,32.29,301.6,sP,pP,19-01-1975,08:08:38,0.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
SNG,7.177,100.617,4,32.43,135.8,P,P,19-01-1975,08:08:31,0,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
HKC,22.302,114.1743,27,33.11,98.5,P,P,19-01-1975,08:08:38,1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
HKC,22.302,114.1743,27,33.11,98.5,S,S,19-01-1975,08:13:58,2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
KSA,33.8233,35.89,920,35.54,284.2,P,P,19-01-1975,08:09:01,3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
SIM,44.949,34.116,275,36.43,303.3,P,P,19-01-1975,08:09:07,1.6,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
SIM,44.949,34.116,275,36.43,303.3,S,S,19-01-1975,08:14:46,-0.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
SIM,44.949,34.116,275,36.43,303.3,P,P,19-01-1975,08:09:08,2.6,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
SIM,44.949,34.116,275,36.43,303.3,S,S,19-01-1975,08:14:46,-0.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
TUP,54.425,119.9539,650,36.6,40.5,P,P,19-01-1975,08:09:08,1.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MOS,55.7383,37.625,121,36.75,321.8,P,P,19-01-1975,08:09:07,-1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MOS,55.7383,37.625,121,36.75,321.8,S,S,19-01-1975,08:14:48,-3.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MOS,55.7383,37.625,121,36.75,321.8,P,P,19-01-1975,08:09:11,3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MOS,55.7383,37.625,121,36.75,321.8,S,S,19-01-1975,08:14:48,-3.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
OBN,55.1138,36.5687,0,37.09,320.5,P,P,19-01-1975,08:09:12,1.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
OBN,55.1138,36.5687,0,37.09,320.5,S,S,19-01-1975,08:14:54,-2.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
OBN,55.1138,36.5687,0,37.09,320.5,P,P,19-01-1975,08:09:11,0.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
OBN,55.1138,36.5687,0,37.09,320.5,S,S,19-01-1975,08:14:54,-2.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MGN,40.9248,32.1812,720,37.76,296.5,P,P,19-01-1975,08:09:17,0.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
TCU,24.1475,120.676,84,37.86,91.5,P,P,19-01-1975,08:09:18,0,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
TCU,24.1475,120.676,84,37.86,91.5,S,S,19-01-1975,08:15:13,4.5,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
ANP,25.1865,121.52,826,38.19,89.5,P,P,19-01-1975,08:09:24,2.8,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
ANP,25.1865,121.52,826,38.19,89.5,S,S,19-01-1975,08:15:17,2.9,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
HWA,23.977,121.605,16,38.71,91.2,P,P,19-01-1975,08:09:29,3.6,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
HWA,23.977,121.605,16,38.71,91.2,S,S,19-01-1975,08:15:27,5.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
TTN,22.754,121.147,9,38.8,93.3,P,P,19-01-1975,08:09:30,4.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
GLP,40.2889,30.3094,560,39.22,295.6,P,P,19-01-1975,08:09:28,-1.5,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
BCK,37.4608,30.589,860,39.28,291.2,P,P,19-01-1975,08:09:29,-0.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
BCK,37.4608,30.589,860,39.28,291.2,pP,pP,19-01-1975,08:09:33,-2.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
